,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
108,Samu Castillejo,es ESP,FWMF,Milan,26,1995,1.4,4,2,0,2,2,1,8,12.5,7,4,1,3,2,6,1,0,Matches,130a7a3f
109,Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,25,17,15,6,4,12,23,52.2,11,18,4,14,11,36,6,0,Matches,0728bebe
110,Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,36,17,15,17,4,12,38,31.6,26,24,12,12,17,53,19,1,Matches,ba3d3bea
111,Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,55,31,33,18,4,25,36,69.4,11,45,32,13,30,85,143,0,Matches,4d1efb48
112,Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,32,16,19,10,3,19,33,57.6,14,13,8,5,50,82,76,1,Matches,d9624b51
113,Emil Ceide,no NOR,FWMF,Sassuolo,19,2001,0.6,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches,98a84572
114,Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,23,12,13,10,0,16,27,59.3,11,21,14,7,25,48,54,0,Matches,7d50454d
115,Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,eade5337
116,Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,12,10,8,4,0,8,10,80.0,2,7,4,3,9,21,28,1,Matches,ae7058f9
117,Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,22,13,17,4,1,7,13,53.8,6,24,18,6,22,44,59,0,Matches,e85fb9b8
118,Federico Chiesa,it ITA,MFFW,Juventus,23,1997,9.6,26,19,9,9,8,12,26,46.2,14,7,0,7,4,30,3,0,Matches,b0f7e36c
119,Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,28,15,19,9,0,10,21,47.6,11,34,21,13,41,69,71,4,Matches,c316607a
