,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
384,Thomas Mangani,fr FRA,MF,Angers,34,1987,24.4,52,2.14,35,15,0,0,0,2,5,0.21,3,1,0,0,0,1,Matches,c801616a
385,Ricardo Mangas,pt POR,DF,Bordeaux,23,1998,26.1,39,1.49,31,4,0,1,0,3,3,0.11,2,0,0,0,0,1,Matches,eef2d8ce
386,Myziane Maolida,fr FRA,MF,Nice,22,1999,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,706a60e1
387,Sekou Mara,fr FRA,FWMF,Bordeaux,19,2002,10.1,24,2.38,17,0,1,2,4,0,4,0.40,2,0,1,0,1,0,Matches,3544641e
388,Marcelo,br BRA,DF,Bordeaux,34,1987,10.0,9,0.90,7,1,0,1,0,0,1,0.10,0,1,0,0,0,0,Matches,e3d0b0c4
389,Marcelo,br BRA,DF,Lyon,34,1987,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e3d0b0c4
390,Guillermo Maripán,cl CHI,DF,Monaco,27,1994,20.4,14,0.69,12,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches,d9764034
391,Marquinhos,br BRA,DF,Paris S-G,27,1994,31.8,24,0.75,18,0,0,3,0,3,2,0.06,2,0,0,0,0,0,Matches,d5f2f82b
392,Jonas Martin,fr FRA,MF,Rennes,31,1990,23.4,39,1.67,31,0,0,4,1,3,4,0.17,3,0,0,0,1,0,Matches,468fdbad
393,Gelson Martins,pt POR,MFFW,Monaco,26,1995,21.2,37,1.75,28,0,2,3,3,1,3,0.14,3,0,0,0,0,0,Matches,3ef0fa48
394,Pape Matar Sarr,sn SEN,MF,Metz,18,2002,23.7,62,2.62,50,1,2,5,2,2,9,0.38,9,0,0,0,0,0,Matches,feb5d972
395,Eliot Matazo,be BEL,MF,Monaco,19,2002,8.8,11,1.26,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,15944afd
396,Chrislain Matsima,fr FRA,DF,Monaco,19,2002,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cf1ef7ec
397,Azor Matusiwa,nl NED,MF,Reims,23,1998,27.4,38,1.39,33,0,1,1,1,2,4,0.15,4,0,0,0,0,0,Matches,a17a94d6
398,Stephy Mavididi,eng ENG,FWMF,Montpellier,23,1998,25.5,66,2.59,39,2,8,7,8,2,8,0.31,3,0,2,1,2,0,Matches,30144daa
399,Derek Mazou-Sacko,fr FRA,FWDF,Troyes,16,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,810edef9
400,Kylian Mbappé,fr FRA,FW,Paris S-G,22,1998,33.6,179,5.33,115,9,29,13,12,1,39,1.16,21,3,10,1,4,0,Matches,42fd9c7f
401,Amadou Mbengue,sn SEN,DFMF,Metz,19,2002,6.8,4,0.59,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,14d2670e
402,Jason Mbock,fr FRA,FW,Angers,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,890bc029
403,Moustapha Mbow,sn SEN,DF,Reims,21,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3f3a2cba
404,Nathanael Mbuku,fr FRA,FWMF,Reims,19,2002,15.8,45,2.86,22,4,5,3,10,1,4,0.25,3,0,0,0,1,0,Matches,46750e9c
405,Facundo Medina,ar ARG,DF,Lens,22,1999,28.8,32,1.11,27,2,1,2,0,0,5,0.17,4,1,0,0,0,0,Matches,6f5ec8bb
406,Farid El Melali,dz ALG,FW,Angers,24,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d21e361a
407,Birger Meling,no NOR,DF,Rennes,26,1994,20.3,42,2.07,38,1,0,1,2,0,9,0.44,9,0,0,0,0,0,Matches,70c52749
408,Houboulang Mendes,fr FRA,DF,Lorient,23,1998,35.8,40,1.12,32,1,1,1,3,2,2,0.06,1,0,0,0,1,0,Matches,1545cf15
409,Nuno Mendes,pt POR,DF,Paris S-G,19,2002,18.4,42,2.28,29,5,6,1,1,0,7,0.38,5,0,2,0,0,0,Matches,f20e4cc9
410,Pedro Mendes,pt POR,DF,Montpellier,30,1990,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6690ef25
411,Thiago Mendes,br BRA,MFDF,Lyon,29,1992,20.7,36,1.74,28,4,0,1,2,1,3,0.14,3,0,0,0,0,0,Matches,c6e5d20f
412,Arial Mendy,sn SEN,DFFW,Clermont Foot,26,1994,8.8,15,1.70,13,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,9f0f4b49
413,Batista Mendy,fr FRA,MFDF,Angers,21,2000,26.8,22,0.82,18,0,1,1,1,1,2,0.07,2,0,0,0,0,0,Matches,e472a6f6
414,Gideon Mensah,gh GHA,DF,Bordeaux,23,1998,13.4,35,2.61,30,1,1,1,0,2,5,0.37,4,0,1,0,0,0,Matches,9bdd8118
